STEPS,CC,CD,DC,DD
318,861,559,144,87
319,841,560,137,83
320,844,566,137,84
321,833,569,133,86
322,836,579,131,81
323,825,583,132,84
324,820,597,136,79
325,808,591,137,82
326,807,597,131,90
327,782,595,136,93
328,759,594,131,94
329,769,578,131,98
330,764,584,138,94
331,771,594,141,94
332,755,592,131,94
333,737,602,136,97
334,728,598,146,94
335,721,602,150,101
336,720,612,149,108
337,701,621,147,108
338,696,614,152,105
339,703,635,157,109
340,701,649,148,112
341,704,627,150,107
342,697,624,150,100
343,704,628,144,100
344,703,630,138,94
345,725,648,137,90
346,730,637,150,91
347,722,652,147,97
348,707,649,145,106
349,700,650,148,112
350,712,655,146,109
351,699,655,151,113
352,703,663,148,117
353,695,682,141,120
354,712,671,150,118
355,712,671,153,129
356,732,671,155,131
357,722,651,159,133
358,734,645,161,134
359,718,655,162,133
360,737,641,164,126
361,730,650,160,132
362,748,643,162,131
363,738,650,164,134
364,746,649,168,138
365,739,646,160,142
366,739,656,158,145
367,731,654,156,151
368,737,638,149,141
369,739,627,138,139
370,728,623,145,135
371,714,621,144,131
372,735,620,147,130
373,723,616,148,135
374,732,629,149,131
375,726,633,152,137
376,718,638,144,127
377,718,617,145,124
378,717,618,145,124
379,719,633,137,126
380,723,621,133,122
381,727,621,127,125
382,717,629,128,125
383,720,645,133,127
384,732,649,123,130
385,736,642,119,122
386,741,649,119,115
387,727,651,121,120
388,732,651,115,123
389,736,644,118,114
390,738,643,128,113
391,741,652,130,113
392,744,655,125,109
393,737,657,120,109
394,738,671,123,110
395,726,681,127,112
396,713,667,130,109
397,700,683,134,111
398,693,690,137,107
399,701,682,128,116
400,707,681,128,117
401,708,677,123,115
402,712,668,127,109
403,719,659,133,109
404,708,683,129,108
405,716,692,135,114
406,714,705,145,114
407,704,706,143,114
408,701,712,131,107
409,698,711,127,115
410,693,711,129,116
411,692,721,136,122
412,702,718,128,130
413,704,722,129,129
414,718,737,126,132
415,707,733,130,134
416,699,729,128,135
417,685,746,127,142
418,687,738,129,141
419,697,723,126,138
420,699,721,115,131
421,707,729,114,121
422,693,745,114,126
423,687,730,102,119
424,674,742,93,122
425,670,756,95,123
426,665,752,95,126
427,691,760,98,129
428,690,766,101,123
429,709,774,105,116
430,696,781,100,132
431,713,800,101,132
432,694,801,97,133
433,681,805,97,144
434,664,811,97,140
435,654,817,104,144
436,651,799,110,137
437,659,786,105,134
438,649,792,101,133
439,646,781,102,137
440,631,791,106,139
441,644,797,109,136
442,636,798,108,128
443,631,801,106,130
444,627,805,109,133
445,622,804,98,133
446,635,790,100,130
447,643,805,97,126
448,654,812,98,129
449,633,818,102,134
450,644,812,103,142
451,631,806,103,144
452,640,792,107,140
453,634,795,107,131
454,636,807,120,130
455,642,827,122,129
456,631,817,115,132
457,606,814,115,132
458,601,827,110,130
459,606,828,112,135
460,603,829,112,133
461,590,829,116,135
462,590,818,114,124
463,600,791,110,124
464,590,817,105,121
465,570,815,99,115
466,561,813,95,113
467,561,828,84,112
468,550,840,88,112
469,543,835,86,112
470,539,827,90,109
471,553,825,102,116
472,550,825,103,119
473,561,828,103,106
474,567,841,104,105
475,574,830,101,104
476,570,815,101,106
477,560,813,99,114
478,552,802,95,109
479,565,778,84,113
480,568,786,81,121
481,562,793,86,124
482,557,793,80,129
483,546,805,83,132
484,550,808,79,135
485,547,813,76,134
486,541,824,72,134
487,530,817,72,131
488,531,834,71,121
489,552,814,68,128
490,560,799,72,137
491,557,793,67,147
492,566,815,71,145
493,561,799,79,147
494,552,813,84,150
495,543,821,90,156
496,533,828,88,147
497,528,817,84,149
498,528,820,89,153
499,531,835,83,155
500,533,833,81,156
501,530,852,80,153
502,509,861,82,151
503,507,860,84,155
504,510,878,94,164
505,503,888,107,166
506,505,889,105,175
507,507,887,110,168
508,492,867,111,173
509,513,859,117,164
510,517,864,114,160
511,505,874,112,160
512,514,861,111,159
513,497,861,111,161
514,496,879,116,170
515,486,874,115,167
516,494,871,118,159
517,495,887,110,159
518,499,882,111,160
519,491,888,111,150
520,481,882,112,150
521,478,868,112,161
522,486,872,108,164
523,492,866,104,162
524,491,862,98,166
525,487,872,100,165
526,483,890,106,168
527,477,900,109,172
528,470,905,110,180
529,475,906,106,181
530,485,881,106,184
531,492,898,101,178
532,498,895,100,164
533,508,882,98,162
534,521,882,92,164
535,528,879,91,164
536,512,865,95,165
537,498,862,87,166
538,512,856,89,168
539,523,874,90,158
540,542,884,91,173
541,552,892,93,167
542,552,891,93,159
543,550,879,97,167
544,540,868,100,164
545,532,875,104,153
546,525,870,107,154
547,526,870,108,144
548,538,878,107,152
549,523,885,101,169
550,531,897,100,166
551,535,885,93,156
552,532,889,95,156
553,537,909,90,154
554,539,910,86,159
555,538,916,87,161
556,553,926,81,165
557,540,933,83,163
558,532,937,81,150
559,527,939,85,146
560,529,932,91,141
561,516,918,96,141
562,518,948,86,141
563,525,931,92,143
564,530,932,89,144
565,530,935,84,147
566,503,936,85,142
567,506,923,82,147
568,501,930,88,145
569,496,916,89,141
570,475,913,89,146
571,476,904,90,141
572,475,886,86,141
573,471,896,85,139
574,472,902,81,142
575,480,906,79,151
576,479,922,74,144
577,462,913,70,135
578,464,920,71,139
579,467,926,84,141
580,452,906,90,150
581,461,913,84,159
582,465,920,84,168
583,447,899,82,170
584,423,902,77,175
585,424,900,79,172
586,428,897,79,170
587,433,908,77,181
588,447,917,78,176
589,435,907,79,163
590,444,895,72,170
591,442,880,63,164
592,446,884,62,173
593,435,893,58,173
594,444,899,52,161
595,445,912,54,156
596,446,916,57,158
597,435,909,57,150
598,435,905,59,156
599,437,892,59,158
600,429,881,59,164
601,427,871,59,157
602,427,894,55,148
