"[run number]","gain-of-receiving","initial-ptr","immigrants-per-day","immigrant-chance-cooperate-with-same","mutation-rate","cost-of-giving","immigrant-chance-cooperate-with-different","death-rate","max-pxcor","max-pycor","[step]","coopown-percent","defother-percent","consist-ethno-percent","meetown-percent","coop-percent","last100coopown-percent","last100defother-percent","last100consist-ethno-percent","last100meetown-percent","last100coop-percent","cc-percent","cd-percent","dc-percent","dd-percent"
"10","0.03","0.12","1","0.5","0.005","0.01","0","0.1","50","50","2000","0.8477909482758621","0.8979885057471264","0.8557168784029038","0.8421052631578947","0.7300362976406534","0.877243402074593","0.8918762560136411","0.8794378056520806","0.8500358449125338","0.76190302238823","0.10585941127309871","0.7623301451697775","0.011161667750023216","0.12064877580710062"
"12","0.03","0.12","1","0.5","0.005","0.01","0.1","0.1","50","50","2000","0.8824846110800224","0.8768115942028986","0.8815666041275797","0.8381801125703565","0.7596153846153846","0.9079654739033425","0.8777182257209055","0.9029592496765847","0.8344899279245981","0.7779269081500647","0.1011636146645284","0.7929673417123535","0.01070376309998881","0.09516528052312932"
"13","0.03","0.12","1","0.5","0.005","0.01","0.1","0.1","50","50","2000","0.8639951426836673","0.889487870619946","0.8686818632309217","0.8161546085232904","0.7254707631318137","0.8790103602186251","0.8606482642292175","0.8752720556501724","0.7964118818129928","0.7284246527664985","0.13010848101582223","0.7377084010298198","0.014547454195515785","0.1176356637588422"
"14","0.03","0.12","1","0.5","0.005","0.01","0.1","0.1","50","50","2000","0.9145604395604395","0.9080717488789237","0.9132833186231244","0.8031774051191527","0.7526478375992939","0.8921144394717333","0.9054788160185723","0.8946709299227285","0.8087085886846078","0.7395416999733546","0.06664521065351778","0.8128711789067149","0.029244950752377364","0.09123865968738994"
"15","0.03","0.12","1","0.5","0.005","0.01","0.1","0.1","50","50","2000","0.9308266360505166","0.9084821428571429","0.9262557077625571","0.7954337899543379","0.7591324200913242","0.9024675959480187","0.888986051733817","0.8996839068929697","0.793518530902671","0.7390470840522334","0.10465999477429196","0.7855819068973269","0.005480917050999265","0.10427718127738181"
"16","0.03","0.12","1","0.5","0.005","0.01","0.1","0.1","50","50","2000","0.9210675752413402","0.8679458239277652","0.9103901996370236","0.7990018148820327","0.7624773139745916","0.9349237582720432","0.8679463995919692","0.9217608813519166","0.8034727379590945","0.7771378843726792","0.10747215460647636","0.819379902141575","0.009761254948243219","0.06338668830370534"
"18","0.03","0.12","1","0.5","0.005","0.01","0.1","0.1","50","50","2000","0.9047114875595553","0.9246376811594202","0.9077887197851388","0.8455684870188004","0.7766338406445837","0.9228694771910467","0.9243666390434474","0.9230989019959999","0.8467601852229796","0.7930391716668708","0.0656354231530404","0.8523788679338343","0.004833568640990388","0.07715214027213485"
"19","0.03","0.12","1","0.5","0.005","0.01","0.1","0.1","50","50","2000","0.9174120453190221","0.8913612565445026","0.9125789218067023","0.814473045167557","0.7673627974745022","0.9056711776365252","0.8556882615514537","0.8961256491426939","0.8090241778293866","0.7602699327702438","0.1104153608420164","0.7812048132955186","0.012380769159162698","0.09599905670330215"
"20","0.03","0.12","1","0.5","0.005","0.01","0.1","0.1","50","50","2000","0.9252976190476191","0.8646907216494846","0.913926499032882","0.8123791102514507","0.7770793036750484","0.9066876428507822","0.8421971617954536","0.8931013153517054","0.7893281725186618","0.7489187124829548","0.14896335734419044","0.7448293141246477","0.010829940494832447","0.09537738803632949"
"17","0.03","0.12","1","0.5","0.005","0.01","0.1","0.1","50","50","2000","0.8842231553689263","0.8671171171171171","0.8806252960682142","0.7896731406916153","0.7261961155850308","0.9078168513533984","0.8524564616043947","0.8950716669058554","0.7697779133180253","0.7327851427956372","0.13076261415420656","0.7641514613568566","0.012017837643283739","0.09306808684565315"
"22","0.03","0.12","1","0.5","0.005","0.01","0.2","0.1","50","50","2000","0.9551318003365115","0.8368869936034116","0.93050621669627","0.7917406749555951","0.7901865008880995","0.9483310866083671","0.8853189891206901","0.9362273512149941","0.8079141010067161","0.7881986623661319","0.08752369690485573","0.8496536967171574","0.008859357696566999","0.053963248681419745"
"21","0.03","0.12","1","0.5","0.005","0.01","0.2","0.1","50","50","2000","0.9221643518518519","0.7867469879518072","0.8959402706486235","0.8063462435837611","0.7848810079328045","0.9453119330076762","0.847661118034538","0.925727815193184","0.7994474718938146","0.786279182901085","0.133817920378246","0.804290605997831","0.006214737457806808","0.055676736166116285"
"23","0.03","0.12","1","0.5","0.005","0.01","0.2","0.1","50","50","2000","0.9266409266409267","0.8727064220183486","0.9161849710982659","0.8061360604713206","0.7716763005780347","0.9123961519272901","0.8593269307937187","0.903451540906734","0.8314538855197602","0.7823252248799513","0.08963237319783281","0.8150723927882703","0.018880284061342557","0.0764149499525544"
"24","0.03","0.12","1","0.5","0.005","0.01","0.2","0.1","50","50","2000","0.9231607629427793","0.8716814159292036","0.9129864451246174","0.8023611718408395","0.7660690861390468","0.9154804518877987","0.9086787283086156","0.9140906525902327","0.7956695414939327","0.7470796287162808","0.11322012532877593","0.7917651479340145","0.011860174781523097","0.08315455195568647"
"26","0.03","0.12","1","0.5","0.005","0.01","0.2","0.1","50","50","2000","0.9301788805539527","0.8880778588807786","0.9221082089552238","0.8083022388059702","0.773320895522388","0.9152660149429247","0.8736048924320192","0.9063592937957312","0.7862102456585994","0.7466134974481576","0.1104919100335621","0.7910384210789961","0.005860842558733657","0.09260882632870812"
"25","0.03","0.12","1","0.5","0.005","0.01","0.2","0.1","50","50","2000","0.8851931330472103","0.816708229426434","0.8730684326710817","0.8229580573951435","0.7609271523178808","0.9158922882399386","0.841391804097951","0.9024094097217512","0.8190229409450421","0.7788412403395242","0.15700958654571548","0.7477689660882845","0.010666028790304278","0.08455541857569568"
"29","0.03","0.12","1","0.5","0.005","0.01","0.2","0.1","50","50","2000","0.911963190184049","0.7638580931263859","0.8798654493032196","0.7832772705430082","0.7654973570398846","0.8930842512652575","0.782075060004364","0.8692861820563196","0.7856207315932267","0.7483440920572552","0.18354569489013509","0.7012076035694325","0.021169171256146348","0.09407753028428609"
"27","0.03","0.12","1","0.5","0.005","0.01","0.2","0.1","50","50","2000","0.8406727828746178","0.8839285714285714","0.8499759961593855","0.7849255880940951","0.684829572731637","0.9033439862810819","0.8489627959413755","0.8925748807801532","0.8019700298272875","0.7543646966368394","0.09472095980336685","0.7980129831413848","0.02195087821764709","0.08531517883760122"
"28","0.03","0.12","1","0.5","0.005","0.01","0.2","0.1","50","50","2000","0.931804465902233","0.8546255506607929","0.9152060634770252","0.7849360492657508","0.7626717195641876","0.916984278927185","0.8457246954343618","0.9023744607742441","0.7949774972455135","0.7606117761302732","0.10226624097549349","0.8001530481035208","0.010023396287956244","0.08755731463302954"
"30","0.03","0.12","1","0.5","0.005","0.01","0.2","0.1","50","50","2000","0.9342179559570863","0.84","0.9142920747996438","0.788512911843277","0.7704808548530722","0.9411299721892057","0.84530128976071","0.9202694772952965","0.782314706147874","0.7699354518371401","0.13688645383002013","0.7937347511572305","0.017916434812916958","0.051462360199832455"
"31","0.03","0.12","1","0.5","0.005","0.01","0.3","0.1","50","50","2000","0.8888235294117647","0.9102902374670184","0.8927368927368927","0.8177008177008177","0.7431457431457431","0.8985531848992769","0.8809736149479042","0.8947741268779897","0.7850312589135833","0.7309792900930052","0.1058908180822775","0.786810574065384","0.008365399655873611","0.09893320819646488"
"32","0.03","0.12","1","0.5","0.005","0.01","0.3","0.1","50","50","2000","0.8890586797066015","0.8576826196473551","0.88293162813576","0.8047220855878012","0.7432365961633055","0.8914375120819641","0.8434868513901304","0.8816390290795482","0.7956548906512857","0.7412593126652247","0.11527559658329183","0.7582385311729932","0.03000472414805735","0.09648114809565761"
"33","0.03","0.12","1","0.5","0.005","0.01","0.3","0.1","50","50","2000","0.9262820512820513","0.8469626168224299","0.9104477611940298","0.8003731343283582","0.7719216417910447","0.9186183402338596","0.834704662519232","0.9015651693183312","0.7967772194001241","0.7655259449245284","0.12275738760914558","0.7813169722130375","0.013201562633944426","0.08272407754387254"
"34","0.03","0.12","1","0.5","0.005","0.01","0.3","0.1","50","50","2000","0.9304691916336914","0.8266129032258065","0.9124241008874358","0.8262494161606726","0.7989257356375525","0.910991373370449","0.774639143256247","0.8870397549903896","0.8243401053286864","0.7905535890363652","0.1781398180778243","0.7235557851620879","0.02798329612477475","0.07032110063531308"
"36","0.03","0.12","1","0.5","0.005","0.01","0.3","0.1","50","50","2000","0.9006073992269464","0.8486140724946695","0.8899122807017544","0.7942982456140351","0.7464912280701754","0.9029573862613018","0.891466792639196","0.9004466610677639","0.7814973467769557","0.7293735953870046","0.08950640542577243","0.8101607636272293","0.020980909319266515","0.07935192162773173"
"35","0.03","0.12","1","0.5","0.005","0.01","0.3","0.1","50","50","2000","0.9072254335260116","0.7947598253275109","0.8836837294332724","0.7906764168190128","0.7602833638025595","0.9061802825105577","0.7563417890520694","0.8742784703341846","0.7870920119387657","0.7651240412079977","0.18570270989131984","0.7059387506417513","0.020480370143566715","0.08787816932336222"
"37","0.03","0.12","1","0.5","0.005","0.01","0.3","0.1","50","50","2000","0.8854899837574445","0.9055299539170507","0.8893029373081982","0.809732573432705","0.7349846558526962","0.8879758476104865","0.8840996635623385","0.8872191365516322","0.8047793785189733","0.7372507864890463","0.10179121115770005","0.7726023232540757","0.011970965657896402","0.1136354999303277"
"38","0.03","0.12","1","0.5","0.005","0.01","0.3","0.1","50","50","2000","0.89738251041047","0.7807017543859649","0.8724847917641554","0.786616752456715","0.7526906878802059","0.8831046558355818","0.7949072422404566","0.8650462476830504","0.7952501392452451","0.7442818141144459","0.14043412979405714","0.7334482609474732","0.031104602665579184","0.09501300659289057"
"39","0.03","0.12","1","0.5","0.005","0.01","0.3","0.1","50","50","2000","0.8994066882416397","0.8311111111111111","0.8860677083333334","0.8046875","0.7567274305555556","0.9125245258338783","0.8322928915018707","0.8955495949448392","0.7884259615254138","0.7549404969219426","0.1334816530911186","0.7731320597446695","0.025753703397257927","0.06763258376695411"
"40","0.03","0.12","1","0.5","0.005","0.01","0.3","0.1","50","50","2000","0.9267955801104972","0.7865296803652968","0.8994661921708185","0.8051601423487544","0.7878113879003559","0.9011753981689606","0.7867200541939854","0.8794699799040164","0.8103590665920332","0.770722262495756","0.22057674418604648","0.6658232558139534","0.013606201550387595","0.0999937984496124"
"42","0.03","0.12","1","0.5","0.005","0.01","0.4","0.1","50","50","2000","0.9063981042654028","0.7821100917431193","0.8808851224105462","0.7947269303201506","0.7650659133709982","0.9108765650944667","0.7963638348984494","0.8874735554821606","0.7956296250011158","0.7663375793335535","0.15582301402937573","0.7387768042777098","0.029284264052239765","0.07611591764067484"
"41","0.03","0.12","1","0.5","0.005","0.01","0.4","0.1","50","50","2000","0.8885869565217391","0.7480916030534351","0.8638602776533811","0.8240035826242723","0.7765338110165696","0.8735061302554918","0.7335315071242223","0.8482311908320876","0.8194319880418535","0.7638945508900666","0.2452932212554687","0.614326795457897","0.024301971194022512","0.1160780120926117"
"44","0.03","0.12","1","0.5","0.005","0.01","0.4","0.1","50","50","2000","0.9067505720823799","0.7457831325301205","0.875866851595007","0.8081368469717984","0.7815533980582524","0.917586446326899","0.7578805036761599","0.8843382873630458","0.7918163944809264","0.7769653012662905","0.17607237071925028","0.7364274787091801","0.015340231518845537","0.07215991905272415"
"43","0.03","0.12","1","0.5","0.005","0.01","0.4","0.1","50","50","2000","0.95079950799508","0.8734793187347932","0.93519882179676","0.7982326951399117","0.7844869906725577","0.9126944816735622","0.9052353320438427","0.9113197233643083","0.81569503529244","0.7619459562231148","0.08569958455616113","0.8117543926515989","0.01677656236104229","0.08576946043119767"
"45","0.03","0.12","1","0.5","0.005","0.01","0.4","0.1","50","50","2000","0.9146542261251372","0.9014084507042254","0.9118154376886589","0.7856834842604571","0.7397585166019837","0.9283265602651712","0.8952972035193523","0.9212064682154528","0.7844314043257972","0.7507791421422402","0.08469681803015137","0.8370188370188371","0.012867412867412869","0.06541693208359875"
"46","0.03","0.12","1","0.5","0.005","0.01","0.4","0.1","50","50","2000","0.9186851211072664","0.8860619469026548","0.9119396157365051","0.7932296431838975","0.7522872827081427","0.9122939228705605","0.8821089349265833","0.9063167965650815","0.8019834787884444","0.7549890325290521","0.10086698166792543","0.8030472314635075","0.006248010436237212","0.08983777643232987"
"47","0.03","0.12","1","0.5","0.005","0.01","0.4","0.1","50","50","2000","0.8879537085744345","0.8512035010940919","0.8808312128922816","0.8061916878710772","0.7446988973706531","0.9166217811343242","0.8580046195591237","0.9046921423388146","0.7964821483175194","0.7589714802086613","0.11239074233657516","0.7982764988304815","0.02530469038532562","0.06402806844761788"
"50","0.03","0.12","1","0.5","0.005","0.01","0.4","0.1","50","50","2000","0.89405311778291","0.75177304964539","0.8661252900232018","0.8037122969837587","0.7672853828306264","0.9178363235044428","0.7990739785390012","0.8964670608656907","0.8200670200224638","0.7888405164811704","0.18106975413811544","0.7270584870229198","0.014581338374103045","0.07729042046486177"
"49","0.03","0.12","1","0.5","0.005","0.01","0.4","0.1","50","50","2000","0.9030339083878643","0.8641552511415526","0.8949976403964134","0.7932987258140632","0.744454931571496","0.9250149654132671","0.8538082993438553","0.9107716115072186","0.7999716221489128","0.7692282111312121","0.1124962914973874","0.8032344197480035","0.011588692245748088","0.07268059650886105"
"48","0.03","0.12","1","0.5","0.005","0.01","0.4","0.1","50","50","2000","0.9155200880572372","0.803475935828877","0.8963943404837974","0.8293016887266088","0.7927886809675947","0.9098904980572236","0.7487789203084833","0.881775564677119","0.8254940223852141","0.7949487472803535","0.1756612465297904","0.7313828975868697","0.019158607645138655","0.07379724823820129"
